zipcode,city,state,metro,county,size_rank_zhvi,2017-06,size_rank_zri
10025,New York,NY,New York,New York,1,1247000,1
60657,Chicago,IL,Chicago,Cook,2,329100,2
60614,Chicago,IL,Chicago,Cook,3,415500,4
79936,El Paso,TX,El Paso,El Paso,4,114700,5
60640,Chicago,IL,Chicago,Cook,5,206700,7
77084,Houston,TX,Houston,Harris,6,158200,9
94109,San Francisco,CA,San Francisco,San Francisco,7,1147900,10
75070,McKinney,TX,Dallas-Fort Worth,Collin,8,315300,11
11226,New York,NY,New York,Kings,9,658700,12
77449,Cypress,TX,Houston,Harris,10,161000,14
10016,New York,NY,New York,New York,11,1061200,16
32162,The Villages,FL,The Villages,Sumter,12,247900,#N/A
60647,Chicago,IL,Chicago,Cook,13,335400,18
37211,Nashville,TN,Nashville,Davidson,14,226800,19
90250,Hawthorne,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,15,577000,20
37013,Nashville,TN,Nashville,Davidson,16,186600,21
60618,Chicago,IL,Chicago,Cook,17,334600,23
10128,New York,NY,New York,New York,18,1318300,25
28269,Charlotte,NC,Charlotte,Mecklenburg,19,178800,27
30349,Riverdale,GA,Atlanta,Clayton,20,114800,30
79912,El Paso,TX,El Paso,El Paso,21,169800,31
90046,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,22,1317200,32
94565,Pittsburg,CA,San Francisco,Contra Costa,23,385900,33
10462,New York,NY,New York,Bronx,24,135400,36
10456,New York,NY,New York,Bronx,25,341300,37
60613,Chicago,IL,Chicago,Cook,26,207200,38
20009,Washington,DC,Washington,District of Columbia,27,564000,41
20002,Washington,DC,Washington,District of Columbia,28,611500,42
21234,Parkville,MD,Baltimore,Baltimore,29,203400,43
63376,Saint Peters,MO,St. Louis,Saint Charles,30,187700,44
77036,Houston,TX,Houston,Harris,31,107800,45
30044,Lawrenceville,GA,Atlanta,Gwinnett,32,169100,46
10463,New York,NY,New York,Bronx,33,493400,47
60629,Chicago,IL,Chicago,Cook,34,160700,48
60625,Chicago,IL,Chicago,Cook,35,266300,49
11206,New York,NY,New York,Kings,36,632600,50
11230,New York,NY,New York,Kings,37,845200,51
11209,New York,NY,New York,Kings,38,731100,52
11201,New York,NY,New York,Kings,39,1116300,53
78613,Cedar Park,TX,Austin,Williamson,40,272300,54
11212,New York,NY,New York,Kings,41,399400,55
37042,Clarksville,TN,Clarksville,Montgomery,42,125900,56
75287,Dallas,TX,Dallas-Fort Worth,Dallas,43,316800,57
85032,Phoenix,AZ,Phoenix,Maricopa,44,241200,61
78130,New Braunfels,TX,San Antonio,Comal,45,198000,62
11214,New York,NY,New York,Kings,46,659600,63
78521,Brownsville,TX,Brownsville,Cameron,47,71300,65
30043,Lawrenceville,GA,Atlanta,Gwinnett,48,214000,66
30096,Duluth,GA,Atlanta,Gwinnett,49,200700,67
23464,Virginia Beach,VA,Virginia Beach,Virginia Beach City,50,255800,68
94501,Alameda,CA,San Francisco,Alameda,51,922200,69
7030,Hoboken,NJ,New York,Hudson,52,750100,70
60619,Chicago,IL,Chicago,Cook,53,145500,71
73099,Yukon,OK,Oklahoma City,Canadian,54,158300,72
94110,San Francisco,CA,San Francisco,San Francisco,55,1344900,74
28277,Charlotte,NC,Charlotte,Mecklenburg,56,330300,75
75243,Dallas,TX,Dallas-Fort Worth,Dallas,57,191700,76
90034,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,58,1043800,77
33160,Sunny Isles Beach,FL,Miami-Fort Lauderdale,Miami-Dade,59,332100,78
33139,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,60,360300,79
44107,Lakewood,OH,Cleveland,Cuyahoga,61,157300,80
77379,Tomball,TX,Houston,Harris,62,220800,81
11377,New York,NY,New York,Queens,63,530000,82
90044,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,64,402400,83
33411,Royal Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,65,270700,84
11234,New York,NY,New York,Kings,66,563800,85
90650,Norwalk,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,67,445000,86
90805,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,68,420200,87
11207,New York,NY,New York,Kings,69,376700,88
75067,Lewisville,TX,Dallas-Fort Worth,Denton,70,222200,89
60617,Chicago,IL,Chicago,Cook,71,119600,90
44035,Elyria,OH,Cleveland,Lorain,72,92600,92
23462,Virginia Beach,VA,Virginia Beach,Virginia Beach City,73,198800,93
19143,Philadelphia,PA,Philadelphia,Philadelphia,74,72400,94
48197,Ypsilanti,MI,Ann Arbor,Washtenaw,75,195200,95
78704,Austin,TX,Austin,Travis,76,517900,96
92683,Westminster,CA,Los Angeles-Long Beach-Anaheim,Orange,77,617600,97
8701,Lakewood Township,NJ,New York,Ocean,78,299500,98
85710,Tucson,AZ,Tucson,Pima,79,165000,99
66062,Olathe,KS,Kansas City,Johnson,80,230400,102
78745,Austin,TX,Austin,Travis,81,274400,103
95630,Folsom,CA,Sacramento,Sacramento,82,505100,104
91910,Chula Vista,CA,San Diego,San Diego,83,484200,105
90026,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,84,862100,106
10314,New York,NY,New York,Richmond,85,493300,107
87111,Albuquerque,NM,Albuquerque,Bernalillo,86,255100,108
94558,Napa,CA,Napa,Napa,87,621300,109
11215,New York,NY,New York,Kings,88,1205200,110
98052,Redmond,WA,Seattle,King,89,778300,111
30024,Suwanee,GA,Atlanta,Gwinnett,90,325800,112
32210,Jacksonville,FL,Jacksonville,Duval,91,119700,113
6010,Bristol,CT,Hartford,Hartford,92,174000,114
11221,New York,NY,New York,Kings,93,1033600,115
33025,Miramar,FL,Miami-Fort Lauderdale,Broward,94,208300,116
60610,Chicago,IL,Chicago,Cook,95,262300,117
30281,Stockbridge,GA,Atlanta,Henry,96,146900,118
89108,Las Vegas,NV,Las Vegas,Clark,97,171200,119
78240,San Antonio,TX,San Antonio,Bexar,98,168900,120
85225,Chandler,AZ,Phoenix,Maricopa,99,236800,121
77433,Cypress,TX,Houston,Harris,100,211900,122
2169,Quincy,MA,Boston,Norfolk,101,387500,123
33009,Hallandale,FL,Miami-Fort Lauderdale,Broward,102,200400,124
